"Klarna online GUI", "Klarna Online"
"Klarna Invoice number: %s", "Klarna fakturanummer: %s"
"Packing slip", "Faktura"
"Klarna reservation expires: %s", "Klarna reservation upphör: %s"
"Klarna reservation has expired.", "Klarna reservation har upphört."
"Klarna API Documentation", "Klarna API-dokumentation"
"Warning!", "Observera!"
"Go to Klarna Checkout", "Gå till Klarna Checkout"
"Connection to Klarna failed, please check your eid/shared secret and store settings.", "Uppkopplingen till Klarna misslyckades, kontrollera din Butiks-ID/delad hemlighet och butikens inställningar."
"Discount is applied before taxes, this may cause different price on Klarna Checkout. Please check store tax configation.", "Rabatter tillämpas före moms, detta kan orsaka andra priser i Klarna Checkout. Kontrollera butikens inställningar för moms."
"Catalog prices are set excluding tax, this may result in different prices in Checkout.", "Katalogpriserna visas utan moms, detta kan orsaka andra priser i Klarna Checkout."
"Klarna Checkout is not available", "Klarna Checkout är inte tillgänglig"
"Please select shipping method to use Klarna Checkout", "Välj leveranssätt för att använda Klarna Checkout"
"No Klarna reservation number found in order", "Klarna reservationsnummer hittades inte i ordern"
"Order canceled: Failed to create order in Klarna.", "Ordern avbröts: misslyckades med att skapa en order i Klarna."
"Enabled", "Aktiverad"
"Server", "Server"
"Merchant ID", "Butiks-ID"
"Shared secret", "Delad hemlighet"
"Activated Countries", "Aktiverade länder"
"Locale", "Språkkonvention"
"Klarna Checkout won't be displayed if selected locale is not allowed by Klarna", "Klarna Checkout visas inte om den valda språkkonventionen inte tillåts av Klarna."
"Activate partial shipments", "Aktivera delleverans"
"When selected, partial shipments will be automatically activated in Klarna", "När aktiverat, kommer delleverans automatiskt att aktiveras i Klarna"
"Title", "Rubrik"
"Terms URL", "Villkor webbadress (URL)"
"Relative to Website Base URL", "Relativt till butikens webbadress (URL)"
"Google Analytics account no", "Google Analytics spårnings-id"
"Enter account number to use Google Ecommerce tracking", "Ange spårnings-ID för att använda Google Ecommerce Tracking"
"Failed to activate reservation %s", "Misslyckades med att aktivera reservationen %s"
"Activate Klarna reservation", "Aktivera Klarna reservation"
"Created Klarna invoice %s", "Skapade Klarna faktura: %s"
"Klarna reservation <b>%s</b> was canceled.", "Klarna reservation <b>%s</b> avbröts."
"Failed to cancel Klarna reservation <b>%s</b>.(%s - %s)", "Misslyckades med att avbryta reservation <b>%s</b>.(%s - %s)"
"Adjustment fee", "Justeringsavgift"
"Tax class for all amount returns / adjustment fee", "Momsklass för alla belopp återbetalningar / justeringsavgifter"
"Link text", "Länktext"
"Other payment methods", "Andra betalningsmetoder"
"Please fill in your post code", "Fyll i ditt postnummer"
"Please select country", "Välj land"
"I accept the terms in the license agreement", "Jag godkänner villkoren i licensavtalet"
"License agreement", "Licensavtal"
"By accepting the license agreement and filling in your contact information you can use Klarna Checkout module for free.", "Genom att godkänna licensavtalet och fylla i dina kontaktuppgifter kan du använda Klarna Checkout gratis."
"Disabled shipping methods", "Deaktiverade leveranssätt"
"Show part payment widget on product page", "Visa widget för delbetalning på produktsidorna"
"Part payment widget layout", "Utseende för widget för delbetalning"
"Please use the same post code for your quote and Klarna.", "Använd samma postnummer i kundvagnen och i Klarna."
"Hide links to default Checkout", "Göm länkarna till standard checkout"
"Text shown in Klarna link at Magento Checkout", "Klarna-länkens text på på Magentos Checkoutsida"
"Cart page layout", "Checkoutsidans utseende"
"Show newsletter subscription checkbox", "Visa kryssruta för prenumeration av nyhetsbrev"
"Default", "Standard"
"Two columns", "Två kolumner"
"From %s/mo.", "Från %s/månaden"
"Update PClasses", "Uppdatera PClasserna"
"Continue Shopping", "Fortsätt att handla"
"Please login to use Klarna Checkout", "Logga in för att använda Klarna Checkout"
"Gift message saved successfully", "Presentmeddelande sparades"
"PClasses updated successfully", "PClasserna uppdaterades"
"Please fill in your phone number.", "Fyll i ditt telefonnummer"
"Show giftmessage form on cart page", "Visa formulär för presentmeddelande på varukorgssidan"
"Only if you have gift messages are enabled.", "Enbart om presentmeddelanden är aktiverade"
"Klarna widget", "Klarna widget"
"Custom widget on product page", "Anpassad widget på produktsidor"
"Custom widget on product page and product listing", "Anpassad widget		 på produktsidor och produktlistor"
"Klarna Checkout payment methods", "Klarna Checkout betalningsmetoder"
"View your Klarna Checkout payment methods with Klarna tooltip", "Visa Klarna Checkout betalningsmetoder med Klarna inforuta"
"View Klarna logo", "Visa Klarna logotyp"
"Layout", "Utseende"
"One row", "En rad"
"Two rows", "Två rader"
"Blue", "Blå"
"White", "Vit"
"Color", "Färg"
"Tooltip layout", "Inforutans utseende"
"Width", "Bredd"
"Background", "Bakgrund"
"Light", "Ljus"
"Dark", "Mörk"
"Google Analytics account Type", "Google Analytics kontotyp"
"Avenla Klarna Checkout module documentation", "Avenla Klarna Checkout dokumentation"
"Debug log", "Felsökningslog"
"Use custom colors", "Använd anpassade färger"
"Button color", "Bakgrundsfärg på knappar"
"Button text color", "Förgrundsfärg på knappar"
"Checkbox color", "Färg på kryssrutor"
"Checkbox checkmark color", "Färg på bock (kryssruta)"
"Header color", "Färg på rubriker"
"Link color", "Färg på länkar"
"Please confirm that your contract with Klarna allows the use of a separate shipping address.", "Bekräfta att ditt kontrakt med Klarna tillåter seperat leveransadress."
"API", "API"
"Allow separate shipping address", "Tillåt separat leveransadress"
"Klarna reservation : %s", "Klarna reservation: %s"
"Klarna reference number: %s", "Klarna referensnummer: %s"
"Remaining amount: %s", "Kvarvarande belopp: %s"
"Reference", "Referens"
"Mottaget belopp", "Suoritettu summa"
"Captured at", "Mottaget"
"Refunded amount", "Återbetalt belopp"
"Refunded at", "Återbetalt"
"Description", "Beskrivning"
"Enable B2B flow", "Aktivera B2B"
"Disabled", "Deaktiverad"
"Enabled (B2B as default)", "Aktiverad (B2B visas först)"
"Add Custom Checkbox", "Lägg till anpassad kryssruta"
"Custom Checkbox text", "Anpassad kryssruta text"
"Is Custom Checkbox required", "Obligatoriskt att bocka i anpassad kryssruta"
"Custom Checkbox default value", "Anpassad kryssruta standardvärde"
"Paste <i>[MyLinkText](www.example.com)</i> and replace placeholders with your own values to get a link.", "Klistra in <i>[LänkText](www.example.com)</i> och ersätt platshållarna med egna värden för att skapa en länk."